#assembly_accession,organism_name
GCA_002287175.1,Methanobacterium bryantii
GCA_000762265.1,Methanobacterium formicicum
GCA_018263005.1,Methanobacterium sp.
GCA_018379875.1,Methanobrevibacter smithii
GCA_900106905.1,Methanohalophilus halophilus
GCA_017875625.1,Methanococcus voltae
GCA_013329685.1,Methanocaldococcus jannaschii
GCA_015063105.1,Methanocorpusculum parvum
GCA_023128355.1,Methanogenium sp.
GCA_001508665.1,Methanoculleus marisnigri
GCA_026684035.1,Methanogenium organophilum
GCA_012521595.1,Methanoculleus thermophilus
GCA_028691265.1,Methanofollis liminatans
GCA_003251955.1,Methanospirillum hungatei
GCA_947305015.1,Methanomicrobium mobile
GCA_937906725.1,Methanosarcina barkeri
GCA_018432985.1,Methanosarcina mazei
GCA_900116525.1,Methanosarcina thermophila
GCA_012522315.1,Methanosarcina sp.
GCA_003249335.1,Methanosarcina acetivorans
GCA_913757535.1,Methanothrix soehngenii
GCA_000765475.1,Methanococcoides methylutens
GCA_001508815.1,Archaeoglobus fulgidus
GCA_021503995.1,Halobacterium salinarum
GCA_018419995.1,Haloferax volcanii
GCA_002215285.1,Halorubrum lacusprofundi
GCA_000700025.2,Halorubrum saccharovorum
GCA_029225785.1,Haloferax lucentense
GCA_011039715.1,Thermococcus litoralis
GCA_009428885.1,Acidianus ambivalens
GCA_001559955.1,Sulfolobus acidocaldarius
GCA_019175305.1,Saccharolobus shibatae
GCA_900079115.1,Saccharolobus solfataricus
GCA_017838265.1,Sulfolobus sp.
GCA_026627405.1,Thermoplasma acidophilum
GCA_001462395.1,Pyrodictium occultum
GCA_015062825.1,Methanosphaera stadtmanae
GCA_013329715.1,Methanopyrus kandleri
GCA_026626945.1,Acidianus infernus
GCA_003400025.1,Pyrobaculum aerophilum
GCA_900106715.1,Haloarcula vallismortis
GCA_000275865.1,Methanofollis liminatans DSM 4140
GCA_002252935.1,Halorubrum distributum
GCA_002355655.1,Halorubrum trapanicum
GCA_003298465.1,halophilic archaeon
GCA_000337555.1,Natrialba asiatica DSM 12278
GCA_024662215.1,Methanoplanus endosymbiosus
GCA_030153625.1,Pyrococcus sp.
GCA_900111935.1,Halorubrum sodomense
GCA_001190965.1,Haloferax gibbonsii
GCA_007134425.1,Natronococcus sp.
GCA_015520695.1,Thermococcus sp.
GCA_017873415.1,Methanolobus bombayensis
GCA_900100715.1,Methanolobus vulcani
GCA_014203295.1,Methanococcus maripaludis
GCA_020854875.1,Methanobrevibacter arboriphilus
GCA_002761295.1,Methanohalophilus portucalensis
GCA_003201835.2,Acidianus brierleyi
GCA_009729035.1,Stygiolobus azoricus
GCA_025449255.1,Methanococcus aeolicus
GCA_017857535.1,Sulfolobus islandicus
GCA_001266695.1,Metallosphaera sedula
GCA_012726115.1,Haloarcula argentinensis
GCA_900129775.1,Halobaculum gomorrense
GCA_900114025.1,Natronobacterium gregoryi
GCA_018056835.1,Methanospirillum sp.
GCA_026627365.1,Sulfuracidifex metallicus
GCA_026627265.1,Metallosphaera prunae
GCA_001639285.1,Methanobrevibacter cuticularis
GCA_003385755.1,Methanothermobacter defluvii
GCA_001639295.1,Methanobrevibacter curvatus
GCA_002214585.1,Thermococcus profundus
GCA_017873335.1,Thermococcus stetteri
GCA_002973515.1,Methanohalophilus euhalobius
GCA_022807515.1,Haloarcula hispanica
GCA_026626905.1,Desulfurococcus sp.
GCA_001592435.1,Thermococcus peptonophilus
GCA_013329775.1,Pyrococcus horikoshii
GCA_002214465.1,Thermococcus barossii
